experiment,dataset,pca_components,variance_retained,kernel,C,gamma,degree,test_accuracy,training_time_ms,n_support_vectors
MNIST_PCA150_rbf_C0.1_gscale,MNIST,150,80.00833,rbf,0.1,scale,,94.33,143348.5312461853,23124
MNIST_PCA150_rbf_C0.1_gauto,MNIST,150,80.00833,rbf,0.1,auto,,88.79,253342.9524898529,29050
MNIST_PCA150_rbf_C0.1_g0.001,MNIST,150,80.00833,rbf,0.1,0.001,,93.97999999999999,144139.0974521637,24607
MNIST_PCA150_rbf_C0.1_g0.01,MNIST,150,80.00833,rbf,0.1,0.01,,81.77,354141.91722869873,35276
MNIST_PCA150_rbf_C1_gscale,MNIST,150,80.00833,rbf,1.0,scale,,97.02,75345.2398777008,13404
MNIST_PCA150_rbf_C1_gauto,MNIST,150,80.00833,rbf,1.0,auto,,95.47,162079.1404247284,21153
MNIST_PCA150_rbf_C1_g0.001,MNIST,150,80.00833,rbf,1.0,0.001,,96.69,65884.04107093811,13570
MNIST_PCA150_rbf_C1_g0.01,MNIST,150,80.00833,rbf,1.0,0.01,,92.86,276124.3019104004,26915
MNIST_PCA150_rbf_C10_gscale,MNIST,150,80.00833,rbf,10.0,scale,,97.61999999999999,49051.3813495636,11190
MNIST_PCA150_rbf_C10_gauto,MNIST,150,80.00833,rbf,10.0,auto,,95.62,165826.49326324463,21279
MNIST_PCA150_rbf_C10_g0.001,MNIST,150,80.00833,rbf,10.0,0.001,,97.7,49851.76205635071,9903
MNIST_PCA150_rbf_C10_g0.01,MNIST,150,80.00833,rbf,10.0,0.01,,93.44,302637.6402378082,27148
FashionMNIST_PCA50_poly_C0.1_gscale_d2,FashionMNIST,50,80.06395,poly,0.1,scale,2.0,82.89,45105.05747795105,29045
FashionMNIST_PCA50_poly_C0.1_gscale_d3,FashionMNIST,50,80.06395,poly,0.1,scale,3.0,81.57,49684.36312675476,29302
FashionMNIST_PCA50_poly_C0.1_gscale_d4,FashionMNIST,50,80.06395,poly,0.1,scale,4.0,77.31,70452.1758556366,31494
FashionMNIST_PCA50_poly_C0.1_gauto_d2,FashionMNIST,50,80.06395,poly,0.1,auto,2.0,87.49,28999.63092803955,17449
FashionMNIST_PCA50_poly_C0.1_gauto_d3,FashionMNIST,50,80.06395,poly,0.1,auto,3.0,88.17,51120.14961242676,15617
FashionMNIST_PCA50_poly_C0.1_gauto_d4,FashionMNIST,50,80.06395,poly,0.1,auto,4.0,86.24000000000001,74803.88951301575,15854
FashionMNIST_PCA50_poly_C0.1_g0.001_d2,FashionMNIST,50,80.06395,poly,0.1,0.001,2.0,80.08999999999999,56320.91522216797,33281
FashionMNIST_PCA50_poly_C0.1_g0.001_d3,FashionMNIST,50,80.06395,poly,0.1,0.001,3.0,76.07000000000001,73372.7159500122,35612
FashionMNIST_PCA50_poly_C0.1_g0.001_d4,FashionMNIST,50,80.06395,poly,0.1,0.001,4.0,67.53,111870.41163444519,40302
FashionMNIST_PCA50_poly_C0.1_g0.01_d2,FashionMNIST,50,80.06395,poly,0.1,0.01,2.0,86.9,22522.618770599365,19185
FashionMNIST_PCA50_poly_C0.1_g0.01_d3,FashionMNIST,50,80.06395,poly,0.1,0.01,3.0,88.07000000000001,27330.538034439087,16946
FashionMNIST_PCA50_poly_C0.1_g0.01_d4,FashionMNIST,50,80.06395,poly,0.1,0.01,4.0,87.72,41131.03103637695,16550
FashionMNIST_PCA50_poly_C1_gscale_d2,FashionMNIST,50,80.06395,poly,1.0,scale,2.0,86.1,25054.11124229431,21815
FashionMNIST_PCA50_poly_C1_gscale_d3,FashionMNIST,50,80.06395,poly,1.0,scale,3.0,86.08,27038.61951828003,21963
FashionMNIST_PCA50_poly_C1_gscale_d4,FashionMNIST,50,80.06395,poly,1.0,scale,4.0,84.3,35456.48455619812,23463
FashionMNIST_PCA50_poly_C1_gauto_d2,FashionMNIST,50,80.06395,poly,1.0,auto,2.0,87.72999999999999,51245.23663520813,15691
FashionMNIST_PCA50_poly_C1_gauto_d3,FashionMNIST,50,80.06395,poly,1.0,auto,3.0,86.85000000000001,151726.73559188843,14935
FashionMNIST_PCA50_poly_C1_gauto_d4,FashionMNIST,50,80.06395,poly,1.0,auto,4.0,86.29,83685.76979637146,15680
FashionMNIST_PCA50_poly_C1_g0.001_d2,FashionMNIST,50,80.06395,poly,1.0,0.001,2.0,85.22999999999999,28794.288396835327,24267
FashionMNIST_PCA50_poly_C1_g0.001_d3,FashionMNIST,50,80.06395,poly,1.0,0.001,3.0,84.0,35394.973278045654,25954
FashionMNIST_PCA50_poly_C1_g0.001_d4,FashionMNIST,50,80.06395,poly,1.0,0.001,4.0,79.27,55855.64708709717,29714
FashionMNIST_PCA50_poly_C1_g0.01_d2,FashionMNIST,50,80.06395,poly,1.0,0.01,2.0,87.71,29375.728368759155,16534
FashionMNIST_PCA50_poly_C1_g0.01_d3,FashionMNIST,50,80.06395,poly,1.0,0.01,3.0,88.01,57442.620038986206,15537
FashionMNIST_PCA50_poly_C1_g0.01_d4,FashionMNIST,50,80.06395,poly,1.0,0.01,4.0,86.28,75828.43399047852,15990
FashionMNIST_PCA50_poly_C10_gscale_d2,FashionMNIST,50,80.06395,poly,10.0,scale,2.0,87.37,26599.763870239258,17922
FashionMNIST_PCA50_poly_C10_gscale_d3,FashionMNIST,50,80.06395,poly,10.0,scale,3.0,87.97,29501.179456710815,17923
FashionMNIST_PCA50_poly_C10_gscale_d4,FashionMNIST,50,80.06395,poly,10.0,scale,4.0,87.36,32710.31641960144,18810
FashionMNIST_PCA50_poly_C10_gauto_d2,FashionMNIST,50,80.06395,poly,10.0,auto,2.0,87.22,323913.14220428467,14611
FashionMNIST_PCA50_poly_C10_gauto_d3,FashionMNIST,50,80.06395,poly,10.0,auto,3.0,85.96000000000001,294072.7880001068,14545
FashionMNIST_PCA50_poly_C10_gauto_d4,FashionMNIST,50,80.06395,poly,10.0,auto,4.0,86.28,93714.99013900757,15671
FashionMNIST_PCA50_poly_C10_g0.001_d2,FashionMNIST,50,80.06395,poly,10.0,0.001,2.0,86.9,27295.2823638916,19184
FashionMNIST_PCA50_poly_C10_g0.001_d3,FashionMNIST,50,80.06395,poly,10.0,0.001,3.0,87.13,31182.19828605652,20049
FashionMNIST_PCA50_poly_C10_g0.001_d4,FashionMNIST,50,80.06395,poly,10.0,0.001,4.0,85.44,33054.07118797302,22261
FashionMNIST_PCA50_poly_C10_g0.01_d2,FashionMNIST,50,80.06395,poly,10.0,0.01,2.0,87.47,90045.80783843994,15213
FashionMNIST_PCA50_poly_C10_g0.01_d3,FashionMNIST,50,80.06395,poly,10.0,0.01,3.0,86.83,171241.5840625763,14908
FashionMNIST_PCA50_poly_C10_g0.01_d4,FashionMNIST,50,80.06395,poly,10.0,0.01,4.0,86.33999999999999,84759.36627388,15673
FashionMNIST_PCA50_rbf_C0.1_gscale,FashionMNIST,50,80.06395,rbf,0.1,scale,,83.77,56503.67307662964,27482
FashionMNIST_PCA50_rbf_C0.1_gauto,FashionMNIST,50,80.06395,rbf,0.1,auto,,71.3,214508.8176727295,40904
FashionMNIST_PCA50_rbf_C0.1_g0.001,FashionMNIST,50,80.06395,rbf,0.1,0.001,,82.78999999999999,54868.06392669678,28497
FashionMNIST_PCA50_rbf_C0.1_g0.01,FashionMNIST,50,80.06395,rbf,0.1,0.01,,81.06,118391.93868637085,32099
FashionMNIST_PCA50_rbf_C1_gscale,FashionMNIST,50,80.06395,rbf,1.0,scale,,86.75,37687.88766860962,21104
FashionMNIST_PCA50_rbf_C1_gauto,FashionMNIST,50,80.06395,rbf,1.0,auto,,82.93,187704.8773765564,33883
FashionMNIST_PCA50_rbf_C1_g0.001,FashionMNIST,50,80.06395,rbf,1.0,0.001,,86.25,35396.278381347656,21733
FashionMNIST_PCA50_rbf_C1_g0.01,FashionMNIST,50,80.06395,rbf,1.0,0.01,,86.79,95718.56045722961,26278
FashionMNIST_PCA50_rbf_C10_gscale,FashionMNIST,50,80.06395,rbf,10.0,scale,,88.36,36387.00366020203,18065
FashionMNIST_PCA50_rbf_C10_gauto,FashionMNIST,50,80.06395,rbf,10.0,auto,,83.39,206356.74500465393,35170
FashionMNIST_PCA50_rbf_C10_g0.001,FashionMNIST,50,80.06395,rbf,10.0,0.001,,88.18,36767.01331138611,18160
FashionMNIST_PCA50_rbf_C10_g0.01,FashionMNIST,50,80.06395,rbf,10.0,0.01,,86.75,107320.74880599976,26797
FashionMNIST_PCA100_poly_C0.1_gscale_d2,FashionMNIST,100,87.08163,poly,0.1,scale,2.0,83.38,100269.90962028503,28867
FashionMNIST_PCA100_poly_C0.1_gscale_d3,FashionMNIST,100,87.08163,poly,0.1,scale,3.0,81.89999999999999,93230.64661026001,29529
FashionMNIST_PCA100_poly_C0.1_gscale_d4,FashionMNIST,100,87.08163,poly,0.1,scale,4.0,76.86,108832.84831047058,32141
FashionMNIST_PCA100_poly_C0.1_gauto_d2,FashionMNIST,100,87.08163,poly,0.1,auto,2.0,88.42999999999999,33362.1129989624,18194
FashionMNIST_PCA100_poly_C0.1_gauto_d3,FashionMNIST,100,87.08163,poly,0.1,auto,3.0,89.14999999999999,37394.75893974304,16782
